Vendor,GRAPHTEC Corporation,,,,,,,,,,,,,,,,,,
Model,GL840,,,,,,,,,,,,,,,,,,
Version,Ver1.29,,,,,,,,,,,,,,,,,,
MaxChannel,120,,,,,,,,,,,,,,,,,,
GSStartCH,120,,,,,,,,,,,,,,,,,,
WLStartCH,120,,,,,,,,,,,,,,,,,,
MaxLogicChannel,0,,,,,,,,,,,,,,,,,,
Logic/Pulse,Pulse,Off,Off,Off,Off,Off,Off,,,,,,,,,,,,
TempUnit,C,,,,,,,,,,,,,,,,,,
Sampling interval,1s,,,,,,,,,,,,,,,,,,
Total Data Points,37181,,,,,,,,,,,,,,,,,,
Trigger,0,,,,,,,,,,,,,,,,,,
Start time,29/01/2021,07:24:54,,,,,,,,,,,,,,,,,
End time,29/01/2021,17:44:37,,,,,,,,,,,,,,,,,
Trigger time,29/01/2021,07:24:56,,,,,,,,,,,,,,,,,
AMP settings,,,,,,,,,,,,,,,,,,,
CH,SignalName,Amp,Input,Range,Temperature Range,Filter,SpanUpper,SpanLower,Unit,Color,,,Line,Scaling settings,Input Upper,Input Lower,Output Upper,Output Lower,Unit
CH3,T3_mfOut,M,TEMP,TC_K,500degC,Off,150,-25,degC,9,22,8,1,Off,500,0,500,0,degC
CH4,T4_exvOut,M,TEMP,TC_K,500degC,Off,150,-25,degC,21,0,21,1,Off,500,0,500,0,degC
CH96,exv,M,DC,10V,,Off,100,0,%,5,23,30,1,On,10,0,100,0,%
CH98,mdotr,M,DC,10V,,Off,600,0,kg/h,28,0,17,1,On,10,2,600,0,kg/h
CH103,P3_mfOut,M,DC,5V,,Off,35,0,bar,9,22,8,1,On,2.997,1.002,20,0,bar
CH104,P4_exvOut,M,DC,5V,,Off,35,0,bar,21,0,21,1,On,2.996,1.002,20,0,bar
CH,Input,Slope,Filter,Span,,Unit,Color,,,Line,,,,,,,,,
Pulse1,REVO,H,Off,1500,0,RPM,28,5,6,1,,,,,,,,,
Data,,,,,,,,,,,,,,,,,,,
Date&Time,CH3,CH4,CH96,CH98,CH103,CH104,Pulse1,,,,,,,,,,,,
Time,degC,degC,%,kg/h,bar,bar,RPM,,,,,,,,,,,,
29/01/2021 07:24,20.6,24.4,100.03,-0.3,5.649,5.68,0,,,,,,,,,,,,
29/01/2021 07:24,20.6,24.4,100.02,-0.3,5.649,5.675,0,,,,,,,,,,,,
29/01/2021 07:24,20.6,24.4,100.02,-0.3,5.649,5.675,0,,,,,,,,,,,,
29/01/2021 07:24,20.5,24.4,100.02,-0.3,5.649,5.675,0,,,,,,,,,,,,
29/01/2021 07:25,20.6,24.4,100.02,-0.3,5.649,5.675,0,,,,,,,,,,,,
29/01/2021 07:25,20.6,24.4,100.02,-0.3,5.647,5.677,0,,,,,,,,,,,,
29/01/2021 07:25,20.6,24.4,100.02,-0.3,5.647,5.67,0,,,,,,,,,,,,
29/01/2021 07:25,20.5,24.4,100.02,-0.3,5.647,5.672,0,,,,,,,,,,,,
29/01/2021 07:25,20.4,24.4,100.03,-0.3,5.647,5.672,0,,,,,,,,,,,,
29/01/2021 07:25,20.4,24.4,100.02,-0.3,5.642,5.672,0,,,,,,,,,,,,
29/01/2021 07:25,20.4,24.4,100.03,-0.3,5.642,5.67,0,,,,,,,,,,,,
29/01/2021 07:25,20.6,24.4,100.02,-0.3,5.639,5.667,0,,,,,,,,,,,,
29/01/2021 07:25,20.4,24.4,100.03,-0.3,5.644,5.664,0,,,,,,,,,,,,
29/01/2021 07:25,20.4,24.4,100.03,-0.3,5.644,5.667,0,,,,,,,,,,,,
29/01/2021 07:25,20.4,24.4,100.03,-0.3,5.644,5.67,0,,,,,,,,,,,,
29/01/2021 07:25,20.4,24.4,100.02,-0.3,5.639,5.667,0,,,,,,,,,,,,
29/01/2021 07:25,20.4,24.4,100.02,-0.3,5.642,5.667,0,,,,,,,,,,,,
29/01/2021 07:25,20.3,24.4,100.03,-0.3,5.639,5.664,0,,,,,,,,,,,,
29/01/2021 07:25,20.4,24.4,100.03,-0.3,5.642,5.664,0,,,,,,,,,,,,
29/01/2021 07:25,20.4,24.4,100.03,-0.3,5.644,5.664,0,,,,,,,,,,,,
29/01/2021 07:25,20.4,24.4,100.03,-0.3,5.639,5.667,0,,,,,,,,,,,,
29/01/2021 07:25,20.4,24.4,100.03,-0.3,5.637,5.664,0,,,,,,,,,,,,
29/01/2021 07:25,20.4,24.4,100.02,-0.3,5.637,5.659,0,,,,,,,,,,,,
29/01/2021 07:25,20.4,24.4,100.02,-0.3,5.637,5.664,0,,,,,,,,,,,,
29/01/2021 07:25,20.4,24.4,100.02,-0.3,5.637,5.662,0,,,,,,,,,,,,
29/01/2021 07:25,20.4,24.3,100.02,-0.3,5.637,5.664,0,,,,,,,,,,,,
29/01/2021 07:25,20.3,24.3,100.02,-0.3,5.634,5.662,0,,,,,,,,,,,,
29/01/2021 07:25,20.3,24.3,100.02,-0.3,5.637,5.662,0,,,,,,,,,,,,
29/01/2021 07:25,20.3,24.3,100.02,-0.3,5.634,5.657,0,,,,,,,,,,,,
29/01/2021 07:25,20.2,24.3,100.03,-0.3,5.637,5.659,0,,,,,,,,,,,,
29/01/2021 07:25,20.2,24.3,100.03,-0.3,5.639,5.659,0,,,,,,,,,,,,
29/01/2021 07:25,20.3,24.3,100.02,-0.3,5.637,5.659,0,,,,,,,,,,,,
29/01/2021 07:25,20.3,24.2,100.02,-0.3,5.637,5.657,0,,,,,,,,,,,,
29/01/2021 07:25,20.3,24.3,100.02,-0.3,5.634,5.657,0,,,,,,,,,,,,
29/01/2021 07:25,20.3,24.3,100.02,-0.3,5.637,5.652,0,,,,,,,,,,,,
29/01/2021 07:25,20.1,24.2,100.02,-0.3,5.637,5.652,0,,,,,,,,,,,,
